RMS_CDW_ID,General_Offense_Number,Offense_Code,Offense_Code_Extension,Offense_Type,Summary_Offense_Code,Summarized_Offense_Description,Date_Reported,Occurred_Date_or_Date_Range_Start,Occurred_Date_Range_End,Hundred_Block_Location,District_Sector,Zone_Beat,Census_Tract_2000,Longitude,Latitude,Location,Month,Year
725314,201513079,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/12/2015 09:40:00 PM,01/12/2015 07:30:00 PM,01/12/2015 09:30:00 PM,REPUBLICAN ST / YALE AV N,D,D3,7300.1015,-122.330436707,47.623123169,"(47.623123169, -122.330436707)",1,2015
725319,201512448,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 11:38:00 AM,01/11/2015 05:30:00 PM,01/12/2015 09:00:00 AM,14XX BLOCK OF S LANE ST,G,G3,9000.2033,-122.313438416,47.596652985,"(47.596652985, -122.313438416)",1,2015
725320,201512480,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 12:06:00 PM,01/12/2015 12:06:00 PM,,5XX BLOCK OF S JACKSON ST,K,K3,9100.2002,-122.327011108,47.599193573,"(47.599193573, -122.327011108)",1,2015
725325,201512652,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 01:28:00 PM,01/05/2015 08:04:00 PM,,27XX BLOCK OF NE UNIVERSITY VILLAGE ST,U,U3,4301.1014,-122.297309875,47.663345337,"(47.663345337, -122.297309875)",1,2015
725328,201512779,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 04:11:00 PM,01/12/2015 03:44:00 AM,01/12/2015 01:40:00 PM,3XX BLOCK OF NE 123 ST,N,N2,600.5012,-122.325668335,47.717685699,"(47.717685699, -122.325668335)",1,2015
725344,201511725,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 05:20:00 PM,01/09/2015 09:00:00 PM,01/09/2015 10:00:00 PM,9XX BLOCK OF 12 AV,E,E2,8600.1003,-122.31678009,47.610977173,"(47.610977173, -122.31678009)",1,2015
725347,201511599,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 02:09:00 PM,01/11/2015 02:09:00 PM,,58XX BLOCK OF E MARGINAL WY S,O,O2,10900.2014,-122.33556366,47.55065918,"(47.55065918, -122.33556366)",1,2015
725348,201511486,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 02:27:00 PM,01/11/2015 12:18:00 PM,,77XX BLOCK OF 16 AV NW,J,J2,3000.4001,-122.377868652,47.685958862,"(47.685958862, -122.377868652)",1,2015
725355,201511602,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 02:13:00 PM,01/11/2015 02:13:00 PM,,2XX BLOCK OF PIKE ST,M,M3,8100.2007,-122.338348389,47.609516144,"(47.609516144, -122.338348389)",1,2015
725372,201511938,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 09:10:00 PM,01/11/2015 09:10:00 PM,01/11/2015 09:10:00 PM,3 AV / PIKE ST,M,M3,8100.2013,-122.337791443,47.60974884,"(47.60974884, -122.337791443)",1,2015
725390,201512225,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 08:11:00 AM,01/12/2015 07:00:00 AM,,60XX BLOCK OF 42 AV SW,W,W3,10600.2012,-122.38571167,47.547569275,"(47.547569275, -122.38571167)",1,2015
725394,201512616,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/12/2015 04:17:00 PM,01/09/2015 09:30:00 PM,01/10/2015 01:30:00 AM,E PIKE ST / HARVARD AV,E,E2,8400.1006,-122.322113037,47.614063263,"(47.614063263, -122.322113037)",1,2015
725425,201512748,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/12/2015 03:55:00 PM,01/08/2015 03:00:00 PM,01/09/2015 09:00:00 PM,12XX BLOCK OF REPUBLICAN ST,D,D3,7300.1015,-122.331077576,47.623123169,"(47.623123169, -122.331077576)",1,2015
725434,2015900250,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 04:11:00 PM,12/09/2014 02:05:00 PM,12/09/2014 06:00:00 PM,26XX BLOCK OF ELLIOTT AV,D,D1,8001.3026,-122.351867676,47.614196777,"(47.614196777, -122.351867676)",1,2015
725439,2015900213,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 12:24:00 PM,12/09/2014 11:50:00 AM,12/09/2014 05:50:00 PM,7XX BLOCK OF N 83 ST,J,J3,2800.4006,-122.348564148,47.689113617,"(47.689113617, -122.348564148)",1,2015
725457,201512309,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 09:37:00 AM,01/09/2015 11:00:00 PM,01/10/2015 01:00:00 AM,12XX BLOCK OF E PIKE ST,E,E2,7500.4008,-122.316184998,47.614109039,"(47.614109039, -122.316184998)",1,2015
725459,201512822,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 06:49:00 PM,01/12/2015 04:48:00 PM,,80XX BLOCK OF AURORA AV N,J,J3,2700.4015,-122.34450531,47.68730545,"(47.68730545, -122.34450531)",1,2015
725477,201512272,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 08:26:00 AM,01/12/2015 08:26:00 AM,,16XX BLOCK OF NE 50 ST,U,U1,4400.3007,-122.310241699,47.664878845,"(47.664878845, -122.310241699)",1,2015
725491,2015900295,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 05:39:00 PM,12/20/2014 05:40:00 PM,12/20/2014 11:55:00 PM,67XX BLOCK OF 24 AV SW,F,F1,10701.1013,-122.363052368,47.540378571,"(47.540378571, -122.363052368)",1,2015
725493,2015900254,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 06:53:00 PM,12/24/2014 09:30:00 PM,12/24/2014 09:35:00 PM,E OLIVE WY / E DENNY WY,E,E1,7402.3005,-122.325637817,47.618488312,"(47.618488312, -122.325637817)",1,2015
725499,2015900243,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 03:25:00 PM,01/12/2015 10:30:00 AM,01/12/2015 10:31:00 AM,PINE ST / 2 AV,M,M1,8100.3000,-122.339813232,47.610275269,"(47.610275269, -122.339813232)",1,2015
725504,201512861,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 05:57:00 PM,01/12/2015 04:23:00 PM,01/12/2015 05:23:00 PM,50XX BLOCK OF ROOSEVELT WY NE,U,U1,4500.1009,-122.317398071,47.665687561,"(47.665687561, -122.317398071)",1,2015
725507,201513101,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 10:02:00 PM,01/12/2015 02:00:00 PM,,22XX BLOCK OF N 106 ST,N,N3,1200.5011,-122.331932068,47.705928802,"(47.705928802, -122.331932068)",1,2015
725509,201512461,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 12:26:00 PM,01/11/2015 02:30:00 AM,,15XX BLOCK OF BROADWAY,E,E2,8400.1007,-122.320793152,47.614654541,"(47.614654541, -122.320793152)",1,2015
725522,201513507,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/13/2015 09:44:00 AM,01/12/2015 11:30:00 PM,01/13/2015 12:00:00 AM,26XX BLOCK OF SW BARTON ST,F,F2,11402.1028,-122.36730957,47.521026611,"(47.521026611, -122.36730957)",1,2015
725527,201512144,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 04:38:00 AM,01/12/2015 04:38:00 AM,,4XX BLOCK OF BROADWAY E,E,E1,7401.2004,-122.320915222,47.622558594,"(47.622558594, -122.320915222)",1,2015
725528,201512162,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 06:43:00 AM,01/10/2015 12:00:00 PM,01/12/2015 05:30:00 AM,65XX BLOCK OF 4 AV S,O,O3,10900.2070,-122.329605103,47.544612885,"(47.544612885, -122.329605103)",1,2015
725537,201513732,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/13/2015 01:01:00 PM,01/10/2015 08:00:00 PM,01/13/2015 09:00:00 AM,52XX BLOCK OF BROOKLYN AV NE,U,U1,4400.4002,-122.314170837,47.667499542,"(47.667499542, -122.314170837)",1,2015
725543,2015900275,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 09:52:00 PM,01/08/2015 11:40:00 AM,01/08/2015 05:00:00 PM,54XX BLOCK OF 25 AV SW,F,F1,10701.1001,-122.364311218,47.552829742,"(47.552829742, -122.364311218)",1,2015
725554,2015900251,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/12/2015 04:27:00 PM,01/10/2015 10:00:00 AM,01/10/2015 04:17:00 PM,2XX BLOCK OF THOMAS ST,Q,Q3,7100.2001,-122.352165222,47.620925903,"(47.620925903, -122.352165222)",1,2015
725558,201514012,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 06:04:00 PM,01/13/2015 06:04:00 PM,,17XX BLOCK OF 17 AV,C,C2,7900.5008,-122.310142517,47.617027283,"(47.617027283, -122.310142517)",1,2015
725559,201514167,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/13/2015 06:58:00 PM,12/01/2014 12:00:00 PM,01/12/2015 12:00:00 PM,13XX BLOCK OF MINOR AV,E,E3,8300.2016,-122.326438904,47.612449646,"(47.612449646, -122.326438904)",1,2015
725611,20159306,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/09/2015 02:01:00 PM,01/08/2015 07:00:00 PM,01/09/2015 08:00:00 AM,20XX BLOCK OF S CHARLES ST,G,G3,9000.1015,-122.305541992,47.594493866,"(47.594493866, -122.305541992)",1,2015
725618,2015900184,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 10:49:00 AM,01/10/2015 07:40:00 AM,01/10/2015 07:50:00 AM,3 AV / STEWART ST,M,M1,8002.1002,-122.33959198,47.611629486,"(47.611629486, -122.33959198)",1,2015
725662,20159833,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 09:32:00 PM,12/24/2014 09:00:00 AM,12/27/2014 11:59:00 PM,15XX BLOCK OF AURORA AV N,D,D2,6700.1014,-122.34349823,47.632858276,"(47.632858276, -122.34349823)",1,2015
